locationId,location,date,unit,country,city,isMobile,isAnalysis,entity,sensorType,latitude,longitude,no,no2,nox,o3,so2,pm25,pm10,co
223434,Cuajimalpa,2024-11-09 10:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.007,0.028,0.035,0.012,0.001,,,
223434,Cuajimalpa,2024-11-09 09:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.026,0.03,0.013,0.001,,,
223434,Cuajimalpa,2024-11-09 03:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.006,0.032,0.038,0.017,0.005,,,
223434,Cuajimalpa,2024-11-09 00:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.017,0.02,0.035,0.004,,,
223434,Cuajimalpa,2024-11-07 07:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.032,0.042,0.075,0.005,0.001,,,
223434,Cuajimalpa,2024-11-07 05:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.03,0.033,0.017,0.001,,,
223434,Cuajimalpa,2024-11-07 04:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.022,0.024,0.023,0,,,
223434,Cuajimalpa,2024-11-07 03:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.022,0.024,0.023,0,,,
223434,Cuajimalpa,2024-11-07 02:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.035,0.037,0.034,0.001,,,
223434,Cuajimalpa,2024-11-07 00:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.037,0.038,0.082,0.001,,,
223434,Cuajimalpa,2024-11-06 23:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.025,0.026,0.109,0.001,,,
223434,Cuajimalpa,2024-11-06 22:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.028,0.031,0.098,0.001,,,
223434,Cuajimalpa,2024-11-06 21:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.028,0.031,0.098,0.001,,,
223434,Cuajimalpa,2024-11-06 20:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.005,0.022,0.027,0.063,0.001,,,
223434,Cuajimalpa,2024-11-06 19:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.005,0.022,0.027,0.063,0.001,,,
223434,Cuajimalpa,2024-11-06 17:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.007,0.018,0.025,0.042,0.001,,,
223434,Cuajimalpa,2024-11-06 15:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.047,0.029,0.076,0.008,0.001,,,
223434,Cuajimalpa,2024-11-06 14:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.073,0.034,0.107,0.003,0.002,,,
223434,Cuajimalpa,2024-11-06 12:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.006,0.027,0.033,0.01,0.001,,,
223434,Cuajimalpa,2024-11-06 06:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.021,0.022,0.025,0.001,,,
223434,Cuajimalpa,2024-11-06 05:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.012,0.013,0.031,0.001,,,
223434,Cuajimalpa,2024-11-06 03:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.027,0.03,0.019,0.001,,,
223434,Cuajimalpa,2024-11-06 02:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.027,0.03,0.02,0.001,,,
223434,Cuajimalpa,2024-11-06 01:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.027,0.03,0.02,0.001,,,
223434,Cuajimalpa,2024-11-05 23:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.028,0.029,0.076,0.001,,,
223434,Cuajimalpa,2024-11-05 22:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.028,0.029,0.076,0.001,,,
223434,Cuajimalpa,2024-10-31 23:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.013,0.015,0.059,0.009,,,
223434,Cuajimalpa,2024-10-31 21:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.018,0.022,0.056,0.004,,,
223434,Cuajimalpa,2024-10-31 20:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.018,0.022,0.056,0.004,,,
223434,Cuajimalpa,2024-10-31 18:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.006,0.014,0.02,0.036,0.003,,,
223434,Cuajimalpa,2024-10-31 17:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.009,0.019,0.028,0.029,0.002,,,
223434,Cuajimalpa,2024-10-31 16:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.009,0.019,0.028,0.029,0.002,,,
223434,Cuajimalpa,2024-10-31 15:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.044,0.033,0.078,0.01,0.002,,,
223434,Cuajimalpa,2024-10-30 21:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.014,0.017,0.066,0.003,,,
223434,Cuajimalpa,2024-10-30 20:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.013,0.016,0.063,0.002,,,
223434,Cuajimalpa,2024-10-30 18:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.009,0.013,0.042,0.003,,,
223434,Cuajimalpa,2024-10-30 16:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.017,0.019,0.037,0.019,0.002,,,
223434,Cuajimalpa,2024-10-30 15:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.017,0.019,0.037,0.019,0.002,,,
223434,Cuajimalpa,2024-10-30 14:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.097,0.029,0.126,0.003,0.003,,,
223434,Cuajimalpa,2024-10-30 13:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.097,0.029,0.126,0.003,0.003,,,
223434,Cuajimalpa,2024-10-30 06:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.028,0.031,0.012,0.002,,,
223434,Cuajimalpa,2024-10-30 05:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.028,0.031,0.012,0.002,,,
223434,Cuajimalpa,2024-10-30 03:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.022,0.026,0.017,0.002,,,
223434,Cuajimalpa,2024-10-30 02:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.006,0.033,0.038,0.015,0.003,,,
223434,Cuajimalpa,2024-10-30 01:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.032,0.036,0.031,0.007,,,
223434,Cuajimalpa,2024-10-30 00:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.007,0.031,0.038,0.041,0.008,,,
223434,Cuajimalpa,2024-10-29 23:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.006,0.046,0.052,0.035,0.011,,,
223434,Cuajimalpa,2024-10-29 22:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.034,0.037,0.052,0.014,,,
223434,Cuajimalpa,2024-10-29 21:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.006,0.03,0.037,0.055,0.015,,,
223434,Cuajimalpa,2024-10-29 20:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.006,0.03,0.037,0.055,0.015,,,
223434,Cuajimalpa,2024-10-29 17:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.014,0.024,0.038,0.037,0.014,,,
223434,Cuajimalpa,2024-10-29 16:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.016,0.016,0.032,0.019,0.017,,,
223434,Cuajimalpa,2024-10-29 15:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.1,0.031,0.131,0.005,0.011,,,
223434,Cuajimalpa,2024-10-29 14:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.09,0.027,0.117,0.003,0.009,,,
223434,Cuajimalpa,2024-10-29 13:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.034,0.027,0.061,0.003,0.009,,,
223434,Cuajimalpa,2024-10-29 12:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.034,0.027,0.061,0.003,0.009,,,
223434,Cuajimalpa,2024-10-29 11:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.008,0.026,0.034,0.004,0.009,,,
223434,Cuajimalpa,2024-10-29 10:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.005,0.024,0.029,0.007,0.011,,,
223434,Cuajimalpa,2024-10-29 07:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.016,0.018,0.018,0.015,,,
223434,Cuajimalpa,2024-10-29 02:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.025,0.055,0.08,0.004,0.003,,,
223434,Cuajimalpa,2024-10-29 01:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.025,0.055,0.08,0.004,0.003,,,
223434,Cuajimalpa,2024-10-29 00:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.004,0.029,0.033,0.029,0.002,,,
223434,Cuajimalpa,2024-10-28 23:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.023,0.026,0.035,0.002,,,
223434,Cuajimalpa,2024-10-28 21:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.011,0.013,0.041,0.002,,,
223434,Cuajimalpa,2024-10-28 20:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.011,0.013,0.041,0.002,,,
223434,Cuajimalpa,2024-10-28 18:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.011,0.013,0.024,0.02,0.002,,,
223434,Cuajimalpa,2024-10-28 17:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.011,0.013,0.024,0.02,0.002,,,
223434,Cuajimalpa,2024-10-28 04:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.003,0.012,0.015,0.016,0.001,,,
223434,Cuajimalpa,2024-10-28 03:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.01,0.012,0.021,0.003,,,
223434,Cuajimalpa,2024-10-28 02:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.008,0.01,0.027,0.005,,,
223434,Cuajimalpa,2024-10-28 01:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.001,0.007,0.008,0.03,0.005,,,
223434,Cuajimalpa,2024-10-28 00:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.008,0.009,0.033,0.004,,,
223434,Cuajimalpa,2024-10-27 23:00:00+00:00,ppm,MX,CUA,FALSE,,Governmental Organization,reference grade,19.36555556,-99.29194444,0.002,0.007,0.009,0.038,0.003,,,
